source,url,title,company,location,salary_raw,salary_min,salary_max,salary_currency,posted_at,skills
itviec,https://itviec.com/it-jobs/backend-developer-java-odoo-python-vic-viettel-group-1142,Backend Developer (Java/ Odoo (Python)) - VIC,Viettel Group,Hà Nội,1000 - 2000 USD,1000,2000,USD,2026-06-26,"['Java', 'System Architecture', 'Spring Boot', 'Kafka', 'Oracle', 'Python', 'AWS', 'GCP', 'Docker', 'PostgreSQL', 'MySQL']"
itviec,https://itviec.com/it-jobs/backend-developer-nodejs-nestjs-postgresql-eazylab-vietnam-4921,"Backend Developer (NodeJS, NestJS, PostgreSQL)",Eazylab VietNam,Hồ Chí Minh,770 - 1150 USD,770,1150,USD,2026-06-23,"['NestJS', 'Node.js', 'Agile', 'TypeScript', 'PostgreSQL', 'Redis', 'SQL']"
topcv,https://www.topcv.vn/viec-lam/aws-cloud-sales/2198614.html,AWS Cloud Sales,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,Ha Noi,12000000 - 30000000 VND,12000000,30000000,VND,2026-06-25,['AWS']
topcv,https://www.topcv.vn/viec-lam/account-manager-it-solutions-khoi-khach-hang-fdi-han/2213993.html,Account Manager (IT Solutions) – Khối Khách Hàng FDI Hàn,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,Ha Noi,11000000 - 17000000 VND,11000000,17000000,VND,2026-06-24,"['AWS', 'Azure', 'GCP']"
topcv,https://www.topcv.vn/viec-lam/account-manager-sales-it-sales-b2b/2145636.html,Account Manager/ Sales IT - Sales B2B,Công ty cổ phần Công nghệ thông tin Phú Minh (Phú Minh Teck),Ha Noi,20000000 - 30000000 VND,20000000,30000000,VND,2026-06-04,"['Thuyết trình', 'Xây dựng mối quan hệ', 'Giao tiếp', 'Bán Hàng', 'Quản Lý Tài Khoản']"
topcv,https://www.topcv.vn/viec-lam/ads-monetization-leader-mobile-app/2217386.html,Ads Monetization (Leader) - Mobile App,CÔNG TY CỔ PHẦN AZURA GLOBAL,Ha Noi,20000000 - 40000000 VND,20000000,40000000,VND,2026-06-29,"['Ads Monetization', 'product marketing', 'User Acquisition', 'Mobile App Monetization', 'App monetization', 'Tối ưu monetization', 'Ads monetization optimizer', 'tối ưu hóa Monetization']"
topcv,https://www.topcv.vn/viec-lam/android-developer-kotlin-up-to-45m/2208352.html,Android Developer (Kotlin) Up To 45M,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI XTECH,Ho Chi Minh,20000000 - 45000000 VND,20000000,45000000,VND,2026-06-19,"['Jetpack Compose', 'Android kotlin', 'Java', 'Android', 'Kotlin']"
topcv,https://www.topcv.vn/viec-lam/android-developer-lead/2218900.html,Android Developer (Lead),Công ty cổ phần phần mềm ITSOL Holdings,Ha Noi,16000000 - 25000000 VND,16000000,25000000,VND,2026-06-30,"['Java', 'Android', 'Kotlin']"
topcv,https://www.topcv.vn/viec-lam/android-developer-thu-nhap-upto-20-trieu-lam-viec-tai-tu-liem-ha-noi-nghi-thu-7-chu-nhat/1179178.html,"Android Developer - Thu Nhập UpTo 20 Triệu - Làm Việc Tại Từ Liêm, Hà Nội - Nghỉ Thứ 7, Chủ Nhật",WAYFU STUDIO,Ha Noi,10000000 - 20000000 VND,10000000,20000000,VND,2026-06-16,"['Android', 'Kotlin']"
topcv,https://www.topcv.vn/viec-lam/angular-developer/2108465.html,Angular Developer,Công ty Cổ phần Ứng dụng Phần mềm Mobio Việt Nam,Ha Noi,20000000 - 32000000 VND,20000000,32000000,VND,2026-06-23,"['JavaScript', 'TypeScript', 'Angular']"
topcv,https://www.topcv.vn/viec-lam/automation-tester-thu-nhap-upto-30-trieu-1-nam-kinh-nghiem-tieng-anh-tot-ha-noi-di-lam-ngay/2146819.html,Automation Tester - Thu Nhập Upto 30 Triệu - 1 Năm Kinh Nghiệm - Tiếng Anh Tốt - Hà Nội - Đi Làm Ngay,Công Ty TNHH Tester Việt,Ha Noi,15000000 - 30000000 VND,15000000,30000000,VND,2026-06-30,"['Junit', 'Selenium', 'code java', 'Test API', 'Quy trình test', 'kỹ năng test', 'Java', 'Tester']"
topcv,https://www.topcv.vn/viec-lam/b2b-sales-executive-ai-software-solutions-nhan-vien-kinh-doanh-up-to-40-trieu/2192119.html,B2B Sales Executive (AI & Software Solutions) - Nhân Viên Kinh Doanh - Up To 40 Triệu,CÔNG TY CỔ PHẦN CMC OPENAI,Ha Noi,25000000 - 40000000 VND,25000000,40000000,VND,2026-06-06,"['SaaS', 'B2B Sales', 'Giải pháp B2B', 'Phần mềm AI', 'sales B2G', 'Enterprise sales', 'Artificial Intelligence', 'Thuyết trình', 'Đàm phán', 'Bán Hàng', 'Giao tiếp tốt', 'thầu', 'IT Solution', 'AI solutions']"
topcv,https://www.topcv.vn/viec-lam/back-end-developer/2084326.html,Back-End Developer,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ TRIPLAYZ,Ha Noi,15000000 - 20000000 VND,15000000,20000000,VND,2026-06-04,"['Git', 'Linux', 'MySQL', 'Python', 'Docker', 'AWS', 'Kubernetes', 'azure', 'Fast API', 'Google Cloud Platform', 'PostgresSQL', 'AMPQ', 'Pubsub', 'RPC', 'Agile', 'C#', 'Javascript', 'Devops', 'Nestjs', 'Node.js']"
topcv,https://www.topcv.vn/viec-lam/back-end-developer-php/2223139.html,Back-End Developer (PHP),CÔNG TY CỔ PHẦN DREAM VIET EDUCATION,Ho Chi Minh,20000000 - 35000000 VND,20000000,35000000,VND,2026-07-02,"['PHP', 'React Native', 'React', 'AWS']"
topcv,https://www.topcv.vn/viec-lam/backend-senior-backend-developer-tvpl-ai-workspace-management/2217977.html,Backend / Senior Backend Developer – TVPL AI Workspace & Management,Công ty TNHH THƯ VIỆN PHÁP LUẬT,Ho Chi Minh,30000000 - 90000000 VND,30000000,90000000,VND,2026-06-29,"['Database', 'API', 'Backend', 'Phân Quyền', 'Authentication', 'React', 'PHP', 'Laravel', 'Docker', 'PostgreSQL', 'Redis']"
topcv,https://www.topcv.vn/viec-lam/backend-developer-golang-3yoe-upto-40m/2206857.html,Backend Developer (Golang) - 3YoE - Upto 40M,CÔNG TY TNHH BPO BLUENOVA SOLUTIONS,Ho Chi Minh,20000000 - 40000000 VND,20000000,40000000,VND,2026-06-18,"['Go (golang)', 'Java', 'Node.js', 'PHP', 'Laravel', 'Go', 'Docker', 'SQL', 'PostgreSQL', 'MySQL', 'MongoDB', 'Redis']"
topcv,https://www.topcv.vn/viec-lam/backend-developer-golang-python-typescript/2038468.html,Backend Developer (Golang/Python/TypeScript),CÔNG TY CỔ PHẦN MỸ PHẨM QUỐC TẾ THÙY DUNG,Ha Noi,26000000 - 35000000 VND,26000000,35000000,VND,2026-06-18,"['Agile', 'Python', 'TypeScript', 'Go', 'Backend Development', 'REST API', 'Teamwork', 'Docker', 'Kubernetes', 'SQL', 'PostgreSQL']"
topcv,https://www.topcv.vn/viec-lam/backend-developer-lead/2220734.html,Backend Developer (Lead),Công ty Cổ phần viễn thông FPT,Ha Noi,30000000 - 50000000 VND,30000000,50000000,VND,2026-06-30,"['Java', 'Docker', 'SQL', 'PostgreSQL', 'MySQL', 'DevOps', 'Tester']"
topcv,https://www.topcv.vn/viec-lam/backend-developer-php-laravel/2220993.html,Backend Developer (PHP/Laravel),Mac Marketing,Ho Chi Minh,15000000 - 18000000 VND,15000000,18000000,VND,2026-07-01,"['CSS', 'HTML', 'Javascript', 'PHP', 'SQL', 'Laravel', 'Docker', 'PostgreSQL', 'MySQL']"
topcv,https://www.topcv.vn/viec-lam/business-analyst/1456702.html,Business Analyst,CÔNG TY TNHH An Ninh An toàn Thông tin CMC,Ha Noi,20000000 - 24000000 VND,20000000,24000000,VND,2026-06-25,"['AI', 'Phân tích dữ liệu', 'Phân Tích Nghiệp Vụ', 'Hiểu Biết Về Agile Scrum']"
topcv,https://www.topcv.vn/viec-lam/business-analyst/2052620.html,Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ AIT,Ha Noi,15000000 - 25000000 VND,15000000,25000000,VND,2026-06-24,[]
topcv,https://www.topcv.vn/viec-lam/business-analyst/2189634.html,Business Analyst,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRUYỀN THÔNG HALOTIMES,Thanh Hóa,13000000 - 16000000 VND,13000000,16000000,VND,2026-06-04,"['Tư duy logic', 'Giao tiếp', 'chủ động', 'Trách Nhiệm', 'Phân tích', 'Viết tài liệu']"
